Date,Stock Name,score
2021-09-30,AAPL,0.09889999999999999
2021-09-30,AMD,0.41779999999999995
2021-09-30,AMZN,0.24647999999999998
2021-09-30,DIS,0.5461
2021-09-30,GOOG,0.4404
2021-09-30,META,0.47246666666666665
2021-09-30,MSFT,0.24647999999999998
2021-09-30,NFLX,0.24548
2021-09-30,NIO,0.4171285714285714
2021-09-30,PG,0.24647999999999998
2021-09-30,TSLA,0.23155222222222216
2021-09-30,TSM,0.3837261904761905
2021-09-30,XPEV,0.7783
2021-10-01,AAPL,0.2918909090909091
2021-10-01,AMD,0.43575
2021-10-01,AMZN,0.35933750000000003
2021-10-01,CRM,0.6124
2021-10-01,DIS,0.401
2021-10-01,GOOG,-0.49434999999999996
2021-10-01,META,0.25531818181818183
2021-10-01,MSFT,0.35933750000000003
2021-10-01,NFLX,0.44523999999999997
2021-10-01,NIO,0.24901176470588235
2021-10-01,PG,0.35933750000000003
2021-10-01,TSLA,0.233704255319149
2021-10-01,TSM,0.23024901960784316
2021-10-01,XPEV,0.4819
2021-10-01,ZS,0.3062
2021-10-02,AAPL,0.007524999999999997
2021-10-02,AMD,-0.22449999999999998
2021-10-02,AMZN,-0.000699999999999997
2021-10-02,CRM,-0.09065000000000001
2021-10-02,DIS,0.23016666666666666
2021-10-02,ENPH,0.0
2021-10-02,GOOG,0.3277666666666667
2021-10-02,KO,0.0
2021-10-02,META,0.85
2021-10-02,MSFT,-0.000699999999999997
2021-10-02,NIO,0.2520285714285714
2021-10-02,PG,-0.000699999999999997
2021-10-02,TSLA,0.2719396551724138
2021-10-02,TSM,0.24048333333333335
2021-10-03,AAPL,0.8344
2021-10-03,AMZN,0.8344
2021-10-03,BA,0.1122
2021-10-03,GOOG,0.3818
2021-10-03,META,0.2769
2021-10-03,MSFT,0.8344
2021-10-03,NFLX,0.2586
2021-10-03,NIO,0.42235
2021-10-03,PG,0.8344
2021-10-03,PYPL,0.9001
2021-10-03,TSLA,0.2715704918032787
2021-10-03,TSM,0.24401739130434788
2021-10-04,AAPL,0.04741000000000002
2021-10-04,AMD,0.79775
2021-10-04,AMZN,0.25865
2021-10-04,CRM,-0.4389
2021-10-04,ENPH,-0.9732
2021-10-04,GOOG,0.18515
2021-10-04,META,0.06251875000000001
2021-10-04,MSFT,0.25865
2021-10-04,NFLX,0.13342500000000002
2021-10-04,NIO,0.07501249999999998
2021-10-04,PG,0.25865
2021-10-04,PYPL,0.9215
2021-10-04,TSLA,0.13538823529411761
2021-10-04,TSM,0.06168378378378379
2021-10-04,XPEV,0.3818
2021-10-04,ZS,0.5267
2021-10-05,AAPL,0.13906000000000002
2021-10-05,AMD,0.9401
2021-10-05,AMZN,0.045499999999999985
2021-10-05,BA,0.0
2021-10-05,COST,-0.6369
2021-10-05,CRM,-0.9413
2021-10-05,GOOG,0.2294
2021-10-05,META,0.12319032258064515
2021-10-05,MSFT,0.045499999999999985
2021-10-05,NFLX,0.11193999999999997
2021-10-05,NIO,0.12547499999999998
2021-10-05,PG,0.045499999999999985
2021-10-05,PYPL,0.546
2021-10-05,TSLA,0.06944545454545453
2021-10-05,TSM,0.14981
2021-10-06,AAPL,0.19033
2021-10-06,AMZN,0.1943
2021-10-06,BA,0.1981
2021-10-06,COST,0.0
2021-10-06,ENPH,0.4939
2021-10-06,GOOG,-0.21945
2021-10-06,KO,0.46094999999999997
2021-10-06,META,0.20458333333333334
2021-10-06,MSFT,0.1943
2021-10-06,NFLX,0.17212500000000003
2021-10-06,NIO,0.1458142857142857
2021-10-06,PG,0.1943
2021-10-06,PYPL,0.0
2021-10-06,TSLA,0.19993974358974365
2021-10-06,TSM,0.21201750000000003
2021-10-07,AAPL,0.30275
2021-10-07,AMD,0.36333333333333334
2021-10-07,AMZN,0.2763
2021-10-07,BA,0.4621
2021-10-07,BX,-0.5719
2021-10-07,COST,0.6289
2021-10-07,CRM,0.6892
2021-10-07,DIS,0.3446
2021-10-07,F,0.5562
2021-10-07,GOOG,0.14875
2021-10-07,INTC,0.368
2021-10-07,META,0.3571083333333333
2021-10-07,MSFT,0.2763
2021-10-07,NFLX,0.33867499999999995
2021-10-07,NIO,0.04405625000000002
2021-10-07,NOC,0.5562
2021-10-07,PG,0.2763
2021-10-07,TSLA,0.19254817518248177
2021-10-07,TSM,0.23436000000000007
2021-10-07,XPEV,0.1779
2021-10-08,AAPL,0.45607142857142857
2021-10-08,AMD,0.5416
2021-10-08,AMZN,0.3972
2021-10-08,BA,0.65065
2021-10-08,DIS,0.0
2021-10-08,F,0.4939
2021-10-08,META,-0.05135
2021-10-08,MSFT,0.3972
2021-10-08,NFLX,0.3953
2021-10-08,NIO,0.055833333333333346
2021-10-08,NOC,0.4939
2021-10-08,PG,0.3972
2021-10-08,PYPL,0.8074
2021-10-08,TSLA,0.2200111111111111
2021-10-08,TSM,0.23187500000000003
2021-10-09,AAPL,0.29545
2021-10-09,AMD,0.4882333333333333
2021-10-09,AMZN,0.0
2021-10-09,BA,0.06840000000000002
2021-10-09,DIS,0.3818
2021-10-09,META,-0.26275
2021-10-09,MSFT,0.0
2021-10-09,NFLX,0.3243
2021-10-09,NIO,0.26768333333333333
2021-10-09,PG,0.0
2021-10-09,TSLA,0.29493095238095235
2021-10-09,TSM,0.040025
2021-10-09,XPEV,0.3818
2021-10-10,AAPL,0.25742
2021-10-10,AMD,0.13010999999999995
2021-10-10,AMZN,0.4469600000000001
2021-10-10,COST,0.0
2021-10-10,CRM,0.7345
2021-10-10,DIS,0.0
2021-10-10,GOOG,0.39599999999999996
2021-10-10,KO,-0.4215
2021-10-10,META,-0.025733333333333334
2021-10-10,MSFT,0.4469600000000001
2021-10-10,NFLX,0.0
2021-10-10,NIO,0.53101
2021-10-10,PG,0.4469600000000001
2021-10-10,PYPL,0.5106
2021-10-10,TSLA,0.2445507692307692
2021-10-10,TSM,0.21848965517241378
2021-10-11,AAPL,0.08895
2021-10-11,AMD,0.314775
2021-10-11,AMZN,-0.7184
2021-10-11,BA,0.2023
2021-10-11,GOOG,0.0
2021-10-11,META,0.11205000000000001
2021-10-11,MSFT,-0.7184
2021-10-11,NFLX,0.07969999999999998
2021-10-11,NIO,0.14504285714285717
2021-10-11,PG,-0.7184
2021-10-11,PYPL,0.6705
2021-10-11,TSLA,0.18528631578947372
2021-10-11,TSM,0.39247272727272725
2021-10-11,XPEV,0.6486
2021-10-12,AAPL,0.006786956521739119
2021-10-12,AMD,0.42490000000000006
2021-10-12,AMZN,0.13225714285714285
2021-10-12,BA,0.0
2021-10-12,CRM,0.36315
2021-10-12,DIS,0.08895
2021-10-12,KO,0.6369
2021-10-12,META,0.09549999999999999
2021-10-12,MSFT,0.13225714285714285
2021-10-12,NFLX,0.1352
2021-10-12,NIO,0.37005
2021-10-12,PG,0.13225714285714285
2021-10-12,PYPL,0.1779
2021-10-12,TSLA,0.1912547826086956
2021-10-12,TSM,0.30461749999999993
2021-10-12,VZ,-0.27065
2021-10-12,XPEV,0.4215
2021-10-13,AAPL,-0.09607999999999998
2021-10-13,AMD,0.2271
2021-10-13,AMZN,0.068575
2021-10-13,BA,0.9269
2021-10-13,DIS,0.765
2021-10-13,GOOG,0.7825500000000001
2021-10-13,META,0.04362000000000001
2021-10-13,MSFT,0.068575
2021-10-13,NFLX,0.5326333333333333
2021-10-13,NIO,0.30935714285714283
2021-10-13,PG,0.068575
2021-10-13,PYPL,0.765
2021-10-13,TSLA,0.16009655172413792
2021-10-13,TSM,0.14911794871794873
